"id","user_id","cluster_manager_id","manager_id","property_id","block_id","floor_id","room_id","bed_id","tenant_id","booking_category","expected_date_move_in","stay_tenure","status","create_date","checkout_date","move_in_date"
"2","1788","647","648","47","0","185","1014","2047","930","instant-booking","","2","1","2018-07-18","","2018-07-18"
"3","1788","647","648","47","0","185","1014","2048","932","instant-booking","","2","1","2018-07-18","","2018-07-18"
"4","1788","647","648","47","0","185","1014","2049","935","instant-booking","","2","1","2018-07-18","","2018-07-18"
"5","1788","647","648","47","0","185","1017","2054","938","instant-booking","","12","1","2018-07-18","","2018-07-18"
"6","512","512","3","1","0","1","2","3","141","","2018-07-01","12","0","2018-06-18 ","28-06-2018",""
"7","512","512","3","1","0","1","2","4","13","pre-booking","2018-07-01","12","0","2018-06-18 ","2018-07-07",""
"8","512","512","3","1","0","1","7","13","152","pre-booking","2018-07-01","12","3","2018-06-18 ","",""
"9","1788","647","648","47","0","186","1018","2056","939","instant-booking","","12","1","2018-07-18","","2018-07-18"
"10","512","512","3","1","0","1","7","14","153","pre-booking","2018-07-01","12","3","2018-06-18 ","",""
"11","1788","647","648","47","0","186","1018","2057","941","pre-booking","2018-06-23","12","1","2018-07-18","","2018-07-21"
"12","1788","647","648","47","0","186","1019","2058","942","instant-booking","","12","1","2018-07-18","","2018-07-18"
"13","1788","647","648","47","0","186","1019","2059","943","instant-booking","","12","1","2018-07-18","","2018-07-18"
"14","512","512","3","1","0","1","8","15","175","pre-booking","2018-07-01","12","3","2018-06-18 ","",""
"15","1788","647","648","47","0","187","1024","2068","944","instant-booking","","12","1","2018-07-18","","2018-07-18"
"16","1788","647","648","47","0","187","1024","2069","945","instant-booking","","12","1","2018-07-18","","2018-07-18"
"17","1788","647","648","47","0","185","1017","2055","946","instant-booking","","12","1","2018-07-19","","2018-07-19"
"18","1788","647","648","47","0","186","1021","2063","947","instant-booking","","12","1","2018-07-19","","2018-06-14"
"19","512","512","3","1","0","1","8","16","15","pre-booking","2018-07-01","12","3","2018-06-19","",""
"20","512","512","3","1","0","1","9","17","161","pre-booking","2018-07-01","12","3","2018-06-19","",""
"21","512","512","3","1","0","2","10","19","155","pre-booking","2018-07-01","12","3","2018-06-19","",""
"22","512","512","3","1","0","2","11","21","173","pre-booking","2018-07-01","12","3","2018-06-19","",""
"23","512","512","3","1","0","2","11","22","145","pre-booking","","12","3","2018-06-19","","2018-07-01"
"24","61","512","3","1","0","2","12","25","905","instant-booking","","12","1","2018-07-03","","2018-07-03"
"25","512","512","3","1","0","2","12","24","906","instant-booking","","12","1","2018-06-19","","2018-07-01"
"26","512","512","3","1","0","2","13","26","907","instant-booking","","12","1","2018-06-19","","2018-06-19"
"27","512","512","3","1","0","2","15","29","150","instant-booking","","12","1","2018-06-19","","2018-06-19"
"28","512","512","3","1","0","2","15","30","16","instant-booking","","12","1","2018-06-19","","2018-07-01"
"29","512","512","3","1","0","2","15","1045","148","pre-booking","","12","3","2018-06-19","","2018-07-01"
"30","1314","512","3","1","0","2","16","33","909","instant-booking","","12","1","2018-07-06","","2018-07-06"
"31","512","512","3","1","0","2","18","35","22","pre-booking","","12","3","2018-06-19","","2018-07-01"
"32","512","512","3","1","0","3","20","40","910","instant-booking","","12","1","2018-06-19","","2018-06-19"
"33","512","512","3","1","0","3","21","41","19","pre-booking","","12","3","2018-06-19","","2018-07-01"
"34","512","512","3","1","0","3","21","42","139","pre-booking","","12","3","2018-06-19","","2018-07-01"
"35","1314","512","3","1","0","3","25","52","911","instant-booking","","12","1","2018-06-30","","30-06-2018"
"36","512","512","3","1","0","3","26","51","176","pre-booking","","12","3","2018-06-19","","2018-07-01"
"37","512","512","3","1","0","3","27","53","171","pre-booking","","12","3","2018-06-19","","2018-07-01"
"38","512","512","3","1","0","4","28","56","154","pre-booking","","12","3","2018-06-19","",""
"39","512","512","3","1","0","4","29","57","558","pre-booking","","12","0","2018-06-19","2018-07-03","2018-07-01"
"40","512","512","3","1","0","4","29","58","5","pre-booking","2018-07-01","12","0","2018-06-19","2018-07-02",""
"41","512","512","3","1","0","4","33","65","8","pre-booking","","12","3","2018-06-19","","2018-07-01"
"42","1788","647","648","47","0","186","1022","2064","952","instant-booking","","12","1","2018-07-18","","2018-07-18"
"43","512","512","3","1","0","4","33","66","164","pre-booking","","12","3","2018-06-19","","2018-07-01"
"44","512","512","3","1","0","4","34","67","27","pre-booking","","12","3","2018-06-19","","2018-07-01"
"45","512","512","3","1","0","4","34","68","24","pre-booking","","12","3","2018-06-19","","2018-07-01"
"46","1788","647","648","47","0","186","1022","2065","954","instant-booking","","12","1","2018-07-18","","2018-07-18"
"47","512","512","3","1","0","4","36","71","174","pre-booking","","12","0","2018-06-19","2018-07-02","2018-07-01"
"48","512","512","75","7","0","26","239","439","914","instant-booking","","12","1","2018-06-19","","2018-07-01"
"49","512","512","75","7","0","26","239","440","915","instant-booking","","12","1","2018-06-19","","2018-07-01"
"50","1788","647","648","47","0","186","1021","2062","955","instant-booking","","12","1","2018-07-18","","2018-07-18"
"51","1177","512","75","7","0","26","240","441","331","pre-booking","2018-07-07","12","3","2018-07-02","",""
"52","512","512","75","7","0","27","244","449","916","pre-booking","","12","3","2018-06-19","","2018-07-01"
"53","1177","512","75","7","0","27","244","450","322","pre-booking","2018-07-10","12","3","2018-07-02","",""
"54","1177","512","75","7","0","29","257","476","330","pre-booking","2018-07-01","12","3","2018-07-02","",""
