"id","city_id","university_name","video_link","slug","about","sub_locality","city","state","pincode","country","latitute","longitute","status","created_at","updated_at"
"6","5","Amity University","https://www.youtube.com/watch?v=N-a8uNkY2DI","amity-university","<p>Amity University, Noida is a private university located in Noida, Uttar Pradesh, India. The university additionally operates Amity Law School, Amity Business School, Amity Global Business School, and another law School in its name which is affiliated with Guru Gobind Singh Indraprastha University in New Delhi.</p>
<p>Amity University was accredited by the NAAC (National Accreditation and Assessment Council) with grade A in 2012.</p>
<p>The university is part of the Amity education group which operates private universities and other educational institutes in India as well as eight international locations in Abu Dhabi, Dubai and London, as well as China, Mauritius, Romania, Singapore and South Africa.</p>","Sector 125","Noida","Uttar Pradesh","201313","India","28.54206449759595","77.3335145542145","1","16-01-2018 07:21:36","10-04-2018 01:27:29"
"7","5","Asian School of Business","https://www.youtube.com/watch?v=QBNb69eiP_E","asian-school-of-business","Asian Business School is an innovative centre of academic excellence and one of the top colleges for PGDM / MBA in India, approved by AICTE. Our programmes are purposeful and professionally oriented.The core advantage of studying at ABS is to get an internationally recognized qualification, by the finest academic minds who impart holistic knowledge by deductive learning methodology. The support from the industry is immense inform of internship and job placements.The founders of ABS believe that education and training are vital inputs for human resource developments which in turn are essential for the economic well being and growth of the society. </br>
</br>ABS has international tie ups with similar institutions. United Kingdom’s University of Central Lancashire. Northumbria University, Winchester University & Oxford Business College and are some of the overseas institutions of higher learning lending support to ABS in management education. </br>","Sector 125","Noida","Uttar Pradesh","201313","India","28.54404842536029","77.32824669570925","1","16-01-2018 07:32:14","25-01-2018 05:59:22"
"8","5","Jaypee Institute of Information Technology","https://www.youtube.com/watch?v=gi6CuP06rxs","jaypee-institute-of-information-technology","Jaypee Institute of Information Technology, Noida was established in the year 2001 and has been declared as a ""Deemed to be University"" under Section 3 of UGC Act 1956 in the year 2004.</br>

</br>JIIT’s state-of-the-art, environmentally conditioned campus comprises smart buildings with Wi-Fi connectivity covering the Academic Block, Business School cum Research Block, Faculty Residences, Student Hostels and Annapurna. Well equipped modern laboratories and an intellectually stocked Learning Resource Centre with books and E-Resources provide a pleasant and stimulating ambience.</br>
</br>JIIT has been constantly ranked amongst the top engineering Institutes in Delhi NCR. Recently it has been ranked among top Engineering Institutes in India by Edu Rand 2014 Engineering College Rankings.","","Noida","Uttar Pradesh","201301","India","","","1","16-01-2018 07:37:09","25-01-2018 05:14:09"
"9","5","KK Modi International Institute","","kk-modi-international-institute","KKMII Modi International Institute (KKMII) is an initiative of K.K.Modi Group, a US $1 billion group has been in existence since 2002.

KKMII has been in the business of transforming lives by bringing international education to India since 2001. Its unique competency based education provides the skills (competencies) required by employers. More importantly, KKMII provides a student-centered classroom environment where our faculty members are flexible and accommodate students with different learning styles and modes without compromising employer-dictated standards.</br>

</br>All the faculties of KKMII have over 10 years of functional experience. They also undergo train-the-trainer program under the guidance of a mentor on Adult/American education system before they are allocated any course.

The placement and instructional programs are designed in such a way that students can start their career very soon after graduation.</br>

","","Noida","Uttar Pradesh","201301","India","","","1","16-01-2018 07:40:42","25-01-2018 06:00:01"
"10","8","Sharda University","https://www.youtube.com/watch?v=bA4-FRJ5afc","sharda-university","Sharda University was established in 1996. Pradeep Kumar Gupta is Chancellor of Sharda University. Yatendra Kumar Gupta is pro-chancellor of the university. The group has three campuses in Agra, Mathura, and Greater Noida. ""Sharda"", the name of the university, is another name for Saraswati, the Hindu goddess of knowledge, music, arts, wisdom and learning.
Sharda University (SU) is a leading educational institution based out of Greater Noida, Delhi NCR. The University has a multi-discipline campus in the NCR, spread over 63 acres. Sharda University offers 180+ courses at undergraduate, postgraduate and doctorate levels.</br>
</br>Sharda University promises to become one of the India's leading universities with an acknowledged reputation for excellence in research and teaching. With its outstanding faculty, world class teaching standards, and innovative academic programmes, Sharda intends to set a new benchmark in the Indian education system.
","","Greater Noida","Uttar Pradesh","201306","India","28.47296520886451","77.48202304022834","1","16-01-2018 07:43:50","22-03-2018 12:49:46"
"12","8","GL Bajaj Institute of Management & Technology","https://www.youtube.com/watch?v=4bTnyxOCS7g","gl-bajaj-institute-of-management-technology","GL Bajaj Institute of Technology & Management is the 6th Institute established under the prestigious banner of Rajeev Memorial Academic Welfare Society (Registered Under Societies Registration Act 1860). The institute is approved by All India Council for Technical Education (AICTE), Ministry of HRD Govt. of India and Affiliated to Dr. A.P.J. Abdul Kalam Technical University (Formerly UPTU Lucknow).</br>
</br>GL Bajaj Institute of Technology and Management is one of the quality driven Educational Institute in the Greater Noida/Delhi-NCR Region. GL Bajaj stands out in its approach to assist and equip the students for their overall development, giving them a strong foundation for a successful future. The institute offers B.Tech, M.Tech, MBA, MCA.
This self financed institute is governed by Rajeev Memorial Academic Welfare Society (Registered Under Societies Registration Act 1860). It is approved by All India Council for Technical Education (AICTE), Ministry of Human Resource Development, and Government of India and affiliated to Dr. A.P.J. Abdul Kalam Technical University, Lucknow.","","Greater Noida","Uttar Pradesh","201308","India","28.473385061862384","77.48835958996585","1","16-01-2018 07:49:46","22-03-2018 12:52:23"
"13","8","Galgotias University","https://www.youtube.com/watch?v=-cPRSJs5bKE","galgotias-university","Galgotias University is devoted to excellence in teaching, research and innovation, and to develop leaders who'll make a difference to the world. The University, which is based in Greater Noida, has an enrollment of over 15,000 students across more than 100 Undergraduate and Post Graduate programs.</br>

</br>The 'students-first' philosophy is a big reason why Galgotias University is consistently ranked among India's top universities. The focus of Galgotias University is on low student-to-faculty ratio that promotes plenty of personal attention and mentoring opportunities.</br>

</br>The record breaking placement at Galgotias this year is an apt testimony to its focus on upholding the highest academic standards right from selecting top faculty, introducing world-class pedagogical practices to personality development of the students.","","Greater Noida","Uttar Pradesh","201310","India","28.4396192","77.5120575","1","16-01-2018 07:52:31","22-03-2018 12:58:50"
"14","8","Birla Institute of Management and Technology","https://www.youtube.com/watch?v=DXRZe4hIqG4","birla-institute-of-management-and-technology","It provides a highly conducive academic environment, interaction with hard working and industry-academia mix professors, proximity to the strategy makers of the industry and practitioners of the service and manufacturing companies, exposure to the international universities and companies

Birla Institute of Management Technology was established in 1988 under the aegis of the Birla Academy of Art and Culture, and supported by Birla group of companies.</br>
</br>Dr. (Smt.) Sarala Birla, chairperson of Birla Academy and Syt. B K Birla, chairperson of B K Birla Group of companies are the founders of the business school.

BIMTECH is mini India in its formation every year. It has students coming almost from all the states of India, and also from few foreign countries. BIMTECH is like a school where international business endeavors are also made. Its mix of nationalities, cultural backgrounds, academic and professional experiences make BIMTECH one of the most exciting and enriching business schools in the country.","","Greater Noida","Uttar Pradesh","201306","India","28.458504459145868","77.49442498255621","1","16-01-2018 08:28:12","22-03-2018 01:02:36"
"15","8","LLOYD ","","lloyd-","Lloyd Law College was established under the genesis of Satilila Charitable Society (SCS) in the year 2003. The college is affiliated to Chaudhary Charan Singh University , Meerut & the affiliation is approved by the Bar Council of India (The Patron of Professional Legal Education & Profession in India).</br>

</br>Lloyd Law College came into existence with the idea of training youngsters to become responsible, law-abiding persons and to develop a competitive International environment and to promote global legal consciousness in the community for realization of goals of the society and objectives embodied in the Constitution of India.
We offer B.A.LL.B. 5 year and LL.B. 3 year program and our students pass not just with a degree but with an experience. The curriculum is so developed that the students get enough scope to perform and excel through co-curricular activities and competitions. ","","Greater Noida","Uttar Pradesh","201306","India","28.45849532675542","77.49126071139221","1","16-01-2018 08:30:46","22-03-2018 01:03:43"
"16","8","JIMS","https://www.youtube.com/watch?v=HQttmiCwo8o","jims","JIMS has state of art campuses that are prominently spread at eight prime locations in Delhi and NCR. Each successive year brings a new set of opportunities and by meeting those, JIMS continues to grow and improve. JIMS Engineering Management Technical Campus at Greater Noida is one of the Best Engineering Colleges at Greater Noida as well as in entire Delhi & NCR. It has well-developed campus at 6 acres of land with all modern facilities and amenities. The campus life is congenial, harmonious & offers opportunities to the students to pursue education and research / consultancy activities besides other co & extra-curricular activities.</br>
</br>We visualise JIMS as an institute of higher academic learning known for its total commitment to excellence in higher technical and professional education, research and consultancy with a holistic concern for quality of life, environment, society & ethics. To serve society and improve the quality of life by imparting high quality education, providing training and development services, fostering research, giving consultancy services to industry and disseminating information through publication of books, journals and magazines.","","Greater Noida","Uttar Pradesh","201303","India","28.466105251725665","77.48316993439335","1","16-01-2018 08:33:11","22-03-2018 01:05:18"
