"id","user_id","property_no","collection_mode","cluster_manager","manager","property_type","gender","near_university","rent","city_id","address","locality","sub_locality","city","state","pincode","country","name","latitute","longitute","slug","meta_title","meta_keywords","meta_description","status","sold_status","order_by","created_at","updated_at"
"1","1","PM007","PLACIO","512","3","revenue-sharing","","6,7,8,9","","5","","Raipur Marg, Raipur Khadar, Noida, Uttar Pradesh, India","Sector 126","Noida","Uttar Pradesh","201303","India","Raipur Marg","28.54237709013337","77.33556279458162","pg-placio-elite-homes-raipur-marg-sector-126-noida","Placio Elite Homes-Pg for boys in Sector 125 Noida, Boys Pg nearby Amity University","PG in Noida, Boys Pg in Noida, PG near Amity University, Boys Pg in Noida, Pg for boys near Amity University, Boys Pg near Amity University, Pg in Raipur Khadar, Pg in Sector 125 Noida, Students Accommodation for Boys, Accommodation for Boys, fully furnished pg in Noida","Book your fully furnished PG for Boys near Amity University sector in 125 Noida with modern amenities Food and Saftey assurance. Pg in Noida, PG for boys in Noida","1","","1","2018-07-20 11:30:29",""
"3","1","PF006","RENTAL","58","0","flagship","","6,7,8,9","","5","","Sector 126, Noida, Uttar Pradesh, India","Sector 126","Noida","Uttar Pradesh","201313","India","Sector 126","28.542241249224613","77.3357279736149","pg-placio-divya-homes-sector-126-sector-126-noida","Placio Divya Homes- Fully Furnished girls Pg in Noida sector 126, girls Hostel near Amit University","Pg in Noida for girls,Pg in Noida, PG near Amity, girls PG Near Amity, Pg near Amity University, girls Hostel near sector 125 Noida, PG for girls near Amity University Noida, Students Accommodation for girls in Noida
","Pg for girls just 5 minutes walking distance from Amity University Noida 
","1","Filling Fast","5","2018-07-16 09:12:13",""
"7","75","PM008","PLACIO","512","75","revenue-sharing","","6,7,8,9","","5","","The Pavilion, KO-09, Near Amity University, Sector 126, Noida-201301","Sector 126","Noida","Uttar Pradesh","201313","India","Raipur Marg","28.542344102993088","77.33567142404672","pg-placio-pavillion-raipur-marg-sector-126-noida","Placio Plavillion- Fully Furnished Boys Pg in Noida sector 125, Boys Hostel near Amit University","Pg in Noida for Boys, PG near Amity, Boys PG Near Amity, Pg near Amity University, boys Hostel in sector 125 Noida, PG for Boys near Amity University Noida, Students Accommodation for Boys in Noida
","Book your fully furnished PG for Boys near Amity University sector in 125 Noida with modern amenities Food and Saftey assurance. Pg in Noida, PG for boys in Noida, Pg near Amity University, boys pg in Raipur","1","","2","2018-07-20 11:33:19",""
"11","1","PM006","PLACIO","512","81","revenue-sharing","","6,7,8,9","","5","","Raipur Marg, Raipur Khadar, Noida, Uttar Pradesh, India","Sector 126","Noida","Uttar Pradesh","201303","India","Raipur Marg","28.541653726899543","77.33597183145639","pg-placio-admire-homes-raipur-marg-sector-126-noida","Placio Admire Homes- Fully Furnished Boys Pg in Noida sector 126, Boys Hostel near Amit University","Pg in Noida for Boys,Pg in Noida, PG near Amity, Boys PG Near Amity, Pg near Amity University, boys Hostel near sector 125 Noida, PG for Boys near Amity University Noida, Students Accommodation for Boys in Noida, single room pg in noida
","Pg nearby Amity University for boys sector 126, fully furnished with Ac and food. Pg in Noida, PG for boys in Noida, Pg near Amity University, boys pg in Raipur","1","","3","2018-07-20 11:36:05",""
"13","1","PM004","PLACIO","512","1781","flagship","","6,7,8,9","","5","","Amy House near ACE Group Building, Raipur Sector 126 Noida","Sector 125","Noida","Uttar Pradesh","201313","India","Amity University","28.5427807893647","77.33889238328936","pg-placio-amy-house-amity-university-sector-125-noida","Placio Amy Homes- Fully Furnished Boys Pg in Noida sector 126, Boys Hostel near Amit University","Pg in Noida for Boys,Pg in Noida, PG near Amity, Boys PG Near Amity, Pg near Amity University, boys Hostel near sector 125 Noida, PG for Boys near Amity University Noida, Students Accommodation for Boys in Noida
","Pg for Boys just 5 minutes walking distance from Amity University Noida 
","1","","4","2018-07-14 14:28:13",""
"14","1","PF007","PLACIO","58","0","flagship","","6,7,8,9","","5","","Raipur Marg, Raipur Khadar, Noida, Uttar Pradesh, India","Sector 126","Noida","Uttar Pradesh","201303","India","Raipur Marg","28.5422286479204","77.33528250373956","pg-placio-atlantis-homes-raipur-marg-sector-126-noida","Placio Atlantis Homes- Fully Furnished girls Pg in Noida sector 126, girls Hostel near Amit University","Pg in Noida, Pg in Noida for girls, Students Accommodation near Amity for girls, girls PG Near Amity, Pg near Amity University, girls Hostel near sector 126 Noida, PG for girls near Amity University Noida, Students Accommodation for girls in Noida, fully furnished pg in noida for girls
","Fully furnished accommodation for girls just 10 minutes walking distance from Amity University sector 126 noida  
","1","","8","2018-07-09 09:29:48",""
"16","1","PF004","PLACIO","512","81","revenue-sharing","","6,7,8,9","","5","","Raipur Marg, Raipur Khadar, Noida, Uttar Pradesh, India","Sector 126","Noida","Uttar Pradesh","201303","India","Raipur Marg","28.541872857002804","77.3357585958397","pg-placio-venus-raipur-marg-sector-126-noida","Placio Home Care KO-11 - PG in Noida, Fully Furnished girls Pg in sector 126 Noida,  girls Hostel nearby Amit University","Hostel in Noida, Pg in Noida for girls, Students Accommodation near Amity for girls, girls PG Near Amity, Pg near Amity University, girls Hostel near sector 126 Noida, PG for girls near Amity University Noida, Students Accommodation for girls in Noida, fully furnished pg in noida for girls
","Furnushed Pg for girls in Noida with AC and Food just few minutes walking distance from Amity University sector 126 noida  with safety and security.
","1","","16","2018-07-16 09:18:02",""
"18","1","PM011","RENTAL","58","1782","flagship","","6,7,8,9","","5","","The Grand Castle, RA-19, Raipur Village Sector 126, Noida-201301","Sector 125","Noida","Uttar Pradesh","201313","India","Amity University","28.54218937776138","77.33508632869723","pg-placio-the-grand-castle-amity-university-sector-125-noida","Placio The Grand Castle - PG in Noida, Fully Furnished boys Pg in sector 126 Noida,  Boys Hostel nearby Amit University","Pg in Noida, Pg in Noida for boys, Students Accommodation near Amity for boys, boys PG Near Amity, Pg near Amity University, boys Hostel near sector 126 Noida, PG for boys near Amity University Noida, Students Accommodation for boys in Noida, fully furnished pg in noida for boys
","Pg for boys in Noida with AC and Food just few minutes walking distance from Amity University sector 126 noida  with safety and security.
","1","Almost Sold","15","2018-07-16 09:13:58",""
"22","651","PF012","PLACIO","651","0","flagship","","46,47,48,49,50,51,52,53,65,66,67,68,69","","11","","JC-42, Khirki Main Road, Sarai Shahji, Panchsheel Extension, Malviya Nagar, New Delhi, Delhi, India","Malviya Nagar","New Delhi","Delhi","110017","India","JC-42, Khirki Main Rd","28.534298","77.21841489999997","pg-placio-imperial-homez-jc-42--khirki-main-rd-malviya-nagar-new-delhi","Placio Imperial Homez-Pg for girls in Malviya Nagar, girls Pg Malviya Nagar","PG in Malviya Nagar, Girls PG in Malviya Nagar,  Students Accommodation for girls in Malviya Nagar ,  Accommodation for girls, fully furnished pg in Malviya Nagar new Delhi","Book you fully furnisehd PG for girls in Malviya Nagar, New Delhi with Food and Saftey assurance.
","1","","1","2018-07-09 12:32:19",""
"26","649","PFI02","","1650","896","flagship","","25,26,27,28,29,30,31,32,33,34,35,36","","7","","SHM NO 54,Vijay Nagar, Indore, Madhya Pradesh, India","Vijay Nagar","Indore","Madhya Pradesh","452010","India","Vijay Nagar","22.7532848","75.89369620000002","pg-placio-gr-homes-vijay-nagar-vijay-nagar-indore","Placio GR Homes-Pg for girls in Indore, girls Pg nearby Vijay Nagar","PG in Vijay Nagar, Girls PG in Indore, Students Accommodation for girls in Indore, Accommodation for girls, fully furnished pg in Vijay Nagar indore
","Book you fully furnisehd PG for girls in Vijay Nagar, Indore with Food and Saftey assurance.
","1","","0","2018-07-11 08:58:41",""
"28","647","PMI02","PLACIO","1650","0","revenue-sharing","","25,26,27,28,29,30,31,32,33,34,35,36","","7","","55, New Sant Nagar, Rani Bagh Main, Indore, Madhya Pradesh, India","Rani Bagh Main","Indore","Madhya Pradesh","452020","India","New Sant Nagar","22.6721943","75.87704239999994","pg-placio-vinayaka-2-new-sant-nagar-rani-bagh-main-indore","Placio Vinayaka 2-Pg for boys in  Indore, Boys Pg nearby sant nagar indore","Pg for boys in  Indore, Boys pg nearby sant nagar indore, PG in sant Nagar, boys PG in Indore, Students Accommodation for Boys in Indore, Accommodation for Boys fully furnished pg in Sant Nagar indore","Book you fully furnisehd PG for girls in sant Nagar, Indore with Food and Saftey assurance.","1","","0","2018-07-11 09:16:58",""
"29","647","PMI01","PLACIO","1650","648","revenue-sharing","","25,26,27,28,29,30,31,32,33,34,35,36","","7","","New Sant Nagar, Rani Bagh Main, Indore, Madhya Pradesh, India","Rani Bagh Main","Indore","Madhya Pradesh","452010","India","New Sant Nagar","22.6721943","75.87704239999994","pg-placio-vinayaka-new-sant-nagar-rani-bagh-main-indore","Placio Vinayaka -Pg for boys in  Indore, Boys Pg nearby sant nagar indore","Pg for boys in  Indore, Boys pg nearby sant nagar indore, PG in sant Nagar, boys PG in Indore, Students Accommodation for Boys in Indore, Accommodation for Boys fully furnished pg in Sant Nagar indore","Book you fully furnisehd PG for girls in sant Nagar, Indore with Food and Saftey assurance.","1","","0","2018-07-11 09:02:48",""
