"id","property_id","block_name","floor_name","no_of_room"
"1","1","","ground","9"
"2","1","","first","9"
"3","1","","second","9"
"4","1","","third","9"
"8","3","","Ground Floor","8"
"9","3","","First Floor","9"
"10","3","","Second Floor","9"
"26","7","","First","6"
"27","7","","Second","6"
"28","7","","Third","6"
"29","7","","Fourth","6"
"46","11","","First","7"
"47","11","","Second","8"
"48","11","","Third","8"
"49","11","","Fourth","8"
"50","11","","Fifth","8"
"51","11","","Sixth","2"
"56","13","","Ground","6"
"57","13","","First","6"
"58","13","","Second","6"
"59","13","","Third","6"
"60","13","","Fourth","6"
"61","13","","Fifth","4"
"62","14","","First","4"
"63","14","","Second","4"
"64","14","","Third","4"
"67","16","","Ground","2"
"68","16","","First","4"
"69","16","","Second","4"
"70","16","","Third","4"
"71","16","","Fourth","4"
"75","18","","Ground Floor","1"
"76","18","","First Floor","2"
"80","18","","Second Floor","2"
"88","22","","Ground Floor","11"
"89","22","","First floor","15"
"90","22","","Second Floor","14"
"91","3","","Third Floor","9"
"92","3","","Fourth Floor","9"
"102","26","","First Floor","7"
"103","26","","Second Floor","7"
"104","26","","Third Floor","4"
"109","29","","GROUND FLOOR","3"
"110","29","","FIRST FLOOR","4"
"111","29","","SECOND FLOOR","4"
"112","29","","THIRD FLOOR","2"
"129","31","","Ground Floor ","3"
"130","31","","First Floor ","4"
"134","31","","Second Floor ","4"
"135","31","","Third Floor ","1"
"136","33","","First Floor","6"
"137","33","","Second Floor","6"
"138","33","","Third Floor","6"
"139","33","","Fourth ","5"
"140","34","","Ground Floor","4"
"141","34","","First Floor","4"
"142","34","","Second Floor","4"
"143","34","","Third Floor","4"
"144","34","","Fourth Floor","3"
"145","32","","First Floor","16"
"146","32","","Second Floor","16"
"147","32","","Third Floor","16"
"148","35","","Ground Floor","3"
"149","35","","First Floor","5"
"150","35","","Second Floor","5"
"151","35","","Third Floor","2"
"152","36","","First floor","10"
"153","36","","Second Floor","10"
"154","36","","Third Floor","10"
"159","38","","First Floor","5"
"160","38","","Second Floor","5"
"161","38","","Third Floor","5"
"162","38","","Fourth Floor","4"
"163","40","","Ground Floor","3"
"164","40","","First Floor","6"
"165","40","","Second Floor","6"
"166","40","","Third Floor","6"
"168","40","","Fourth Floor","6"
