"id","property_id","block_id","floor_id","room_no","room_name","no_of_beds"
"1","1","","1","1","001",""
"2","1","","1","2","002",""
"3","1","","1","3","003",""
"4","1","","1","4","004",""
"5","1","","1","5","005",""
"6","1","","1","6","006",""
"7","1","","1","7","007",""
"8","1","","1","8","008",""
"9","1","","1","9","009",""
"10","1","","2","1","101",""
"11","1","","2","2","102",""
"12","1","","2","3","103",""
"13","1","","2","4","104",""
"14","1","","2","5","105",""
"15","1","","2","6","106",""
"16","1","","2","7","107",""
"17","1","","2","8","108",""
"18","1","","2","9","109",""
"19","1","","3","1","201",""
"20","1","","3","2","202",""
"21","1","","3","3","203",""
"22","1","","3","4","204",""
"23","1","","3","5","205",""
"24","1","","3","6","206",""
"25","1","","3","7","207",""
"26","1","","3","8","208",""
"27","1","","3","9","209",""
"28","1","","4","1","301",""
"29","1","","4","2","302",""
"30","1","","4","3","303",""
"31","1","","4","4","304",""
"32","1","","4","5","305",""
"33","1","","4","6","306",""
"34","1","","4","7","307",""
"35","1","","4","8","308",""
"36","1","","4","9","309",""
"70","3","","8","1","001",""
"71","3","","8","2","002",""
"72","3","","8","3","003",""
"73","3","","8","4","004",""
"74","3","","8","5","005",""
"75","3","","8","6","006",""
"76","3","","8","7","007",""
"77","3","","8","8","008",""
"79","3","","9","1","101",""
"80","3","","9","2","102",""
"81","3","","9","3","103",""
"82","3","","9","4","104",""
"83","3","","9","5","105",""
"84","3","","9","6","106",""
"85","3","","9","7","107",""
"86","3","","9","8","108",""
"87","3","","9","9","109",""
"88","3","","10","1","201",""
"89","3","","10","2","202",""
"90","3","","10","3","203",""
"91","3","","10","4","204",""
"92","3","","10","5","205",""
"93","3","","10","6","206",""
"94","3","","10","7","207",""
"95","3","","10","8","208",""
"96","3","","10","9","209",""
"236","7","","26","1","101",""
"237","7","","26","2","102",""
"238","7","","26","3","103",""
"239","7","","26","4","104",""
"240","7","","26","5","105",""
"241","7","","26","6","106",""
"242","7","","27","1","201",""
"243","7","","27","2","202",""
"244","7","","27","3","203",""
"245","7","","27","4","204",""
"246","7","","27","5","205",""
"247","7","","27","6","206",""
"248","7","","28","1","301",""
"249","7","","28","2","302",""
"250","7","","28","3","303",""
"251","7","","28","4","304",""
"252","7","","28","5","305",""
"253","7","","28","6","306",""
"254","7","","29","1","401",""
"255","7","","29","2","402",""
"256","7","","29","3","403",""
"257","7","","29","4","404",""
"258","7","","29","5","405",""
"373","11","","46","1","101",""
"374","11","","46","7","107",""
"375","11","","46","6","106",""
"376","11","","46","5","105",""
"377","11","","46","4","104",""
"378","11","","46","3","103",""
"379","11","","46","2","102",""
"380","11","","47","8","208",""
"381","11","","47","7","207",""
"382","11","","47","6","206",""
"383","11","","47","5","205",""
"384","11","","47","4","204",""
"385","11","","47","3","203",""
"386","11","","47","2","202",""
"387","11","","47","1","201",""
"388","11","","48","8","308",""
"389","11","","48","7","307",""
"390","11","","48","6","306",""
"391","11","","48","5","305",""
"392","11","","48","4","304",""
"393","11","","48","3","303",""
"394","11","","48","2","302",""
"395","11","","48","1","301",""
"396","11","","49","8","408",""
"397","11","","49","7","407",""
"398","11","","49","6","406",""
"399","11","","49","5","405",""
"400","11","","49","4","404",""
"401","11","","49","3","403",""
"402","11","","49","2","402",""
"403","11","","49","1","401",""
"404","11","","50","8","508",""
"405","11","","50","7","507",""
"406","11","","50","6","506",""
"407","11","","50","5","505",""
"408","11","","50","4","504",""
"409","11","","50","3","503",""
"410","11","","50","2","502",""
"411","11","","50","1","501",""
"412","11","","51","1","601",""
"413","11","","51","2","602",""
"437","13","","56","1","001",""
"438","13","","56","2","002",""
"439","13","","56","3","003",""
"440","13","","56","4","004",""
"441","13","","56","5","005",""
"442","13","","57","1","101",""
"443","13","","57","2","102",""
"444","13","","57","3","103",""
"445","13","","57","4","104",""
"446","13","","57","5","105",""
"447","13","","57","6","106",""
"448","13","","58","1","201",""
"449","13","","58","2","202",""
"450","13","","58","3","203",""
"451","13","","58","4","204",""
"452","13","","58","5","205",""
"453","13","","58","6","206",""
"454","13","","59","1","301",""
"455","13","","59","2","302",""
"456","13","","59","3","303",""
"457","13","","59","4","304",""
"458","13","","59","5","305",""
"459","13","","59","6","306",""
"460","13","","60","1","401",""
"461","13","","60","2","402",""
"462","13","","60","3","403",""
"463","13","","60","4","404",""
"464","13","","60","5","405",""
"465","13","","60","6","406",""
"466","13","","61","1","501",""
"467","13","","61","2","502",""
"468","13","","61","3","503",""
"469","13","","61","4","504",""
"470","14","","62","1","101",""
"471","14","","62","2","102",""
"472","14","","62","3","103",""
"473","14","","62","4","104",""
"474","14","","63","1","201",""
"475","14","","63","2","202",""
"476","14","","63","3","203",""
"477","14","","63","4","204",""
"478","14","","64","1","301",""
"479","14","","64","2","302",""
"480","14","","64","3","303",""
"481","14","","64","4","304",""
"482","16","","67","1","101",""
"483","16","","67","2","102",""
"484","16","","68","1","201",""
"485","16","","68","2","202",""
"486","16","","68","3","203",""
"487","16","","68","4","204",""
"488","16","","69","1","301",""
"489","16","","69","2","302",""
"490","16","","69","3","303",""
"491","16","","69","4","304",""
"492","16","","70","1","401",""
