"id","property_id","block_id","floor_id","room_id","bed_no","price","status"
"1","1","","1","1","A"," 288000 ","0"
"2","1","","1","1","B"," 288000 ","0"
"3","1","","1","2","A"," 240000 ","3"
"4","1","","1","2","B"," 240000 ","3"
"5","1","","1","3","B"," 264000 ","0"
"6","1","","1","3","A"," 264000 ","0"
"9","1","","1","4","A"," 216000 ","0"
"10","1","","1","4","B"," 216000 ","0"
"11","1","","1","6","A"," 216000 ","0"
"12","1","","1","5","C"," 216000 ","0"
"13","1","","1","6","B"," 240000 ","3"
"14","1","","1","7","A"," 240000 ","3"
"15","1","","1","8","A"," 240000 ","3"
"16","1","","1","7","B"," 240000 ","3"
"17","1","","1","8","B"," 192000 ","3"
"18","1","","1","9","A"," 192000 ","1"
"19","1","","2","10","B"," 288000 ","3"
"20","1","","1","9","B"," 288000 ","0"
"21","1","","2","10","A"," 240000 ","3"
"22","1","","2","11","A"," 240000 ","3"
"23","1","","2","11","B","264000","1"
"24","1","","2","12","B","264000","1"
"25","1","","2","12","A"," 216000 ","1"
"26","1","","2","13","A"," 216000 ","1"
"27","1","","2","14","A"," 216000 ","3"
"28","1","","2","14","B"," 216000 ","0"
"29","1","","2","14","C"," 216000 ","1"
"30","1","","2","15","A"," 216000 ","1"
"31","1","","2","16","A"," 240000 ","3"
"32","1","","2","15","C"," 240000 ","0"
"33","1","","2","16","B"," 240000 ","1"
"34","1","","2","17","A"," 240000 ","3"
"35","1","","2","18","A"," 192000 ","3"
"36","1","","2","17","B"," 192000 ","3"
"37","1","","3","19","A"," 288000 ","0"
"38","1","","2","18","B"," 288000 ","0"
"39","1","","3","20","A"," 240000 ","1"
"40","1","","3","19","B"," 240000 ","3"
"41","1","","3","21","A","264000","3"
"42","1","","3","20","B","264000","3"
"43","1","","3","22","A","216000","0"
"44","1","","3","21","B","216000","0"
"45","1","","3","22","B"," 216000 ","3"
"46","1","","3","23","B"," 216000 ","0"
"47","1","","3","24","B"," 216000 ","0"
"48","1","","3","24","A"," 216000 ","0"
"49","1","","3","24","C"," 240000 ","0"
"50","1","","3","25","A"," 240000 ","3"
"51","1","","3","26","A"," 240000 ","3"
"52","1","","3","25","B"," 240000 ","1"
"53","1","","3","27","A"," 192000 ","3"
"54","1","","3","26","B"," 192000 ","3"
"56","1","","3","27","B"," 288000 ","3"
"59","1","","4","28","B","288000","0"
"61","1","","4","28","A","264000","3"
"62","1","","4","29","B","240000","3"
"63","1","","4","30","A","264000","3"
"64","1","","4","30","B","264000","0"
"65","1","","4","31","B","216000","3"
"66","1","","4","32","C","240000","3"
"67","1","","4","32","A"," 240000 ","3"
"68","1","","4","32","B"," 240000 ","3"
"69","1","","4","34","A","192000","1"
"70","1","","4","33","B"," 240000 ","0"
"72","1","","4","33","A","240000","0"
"139","3","","8","70","A","204000","0"
"140","3","","8","70","B","204000","0"
"141","3","","8","71","A","204000","0"
"142","3","","8","71","B","204000","0"
"143","3","","8","72","B","180000","0"
"145","3","","8","73","A","180000","0"
"146","3","","8","72","A","180000","0"
"147","3","","8","73","B","180000 ","3"
"148","3","","8","74","A","180000","0"
"149","3","","8","74","B"," 192000","0"
"150","3","","8","75","A"," 192000","0"
"151","3","","8","76","B"," 192000","1"
"152","3","","8","75","B"," 192000","0"
"153","3","","8","76","A"," 192000","1"
"154","3","","8","77","A"," 192000","0"
"157","3","","8","77","B","204000","0"
"158","3","","9","79","A","204000","3"
"159","3","","9","79","B","204000","1"
"160","3","","9","80","B","204000","3"
"161","3","","9","81","A","180000","3"
"162","3","","9","80","A","180000","1"
"163","3","","9","81","B","180000","0"
"164","3","","9","82","B","180000","0"
"165","3","","9","82","A","180000","3"
"166","3","","9","83","A","180000","3"
"167","3","","9","84","A","192000","3"
"168","3","","9","83","B","192000","3"
"169","3","","9","84","B","192000","3"
"170","3","","9","85","A","192000","3"
"171","3","","9","86","B","192000","1"
"172","3","","9","85","B","192000","3"
"173","3","","9","86","A","192000","0"
"174","3","","9","87","A","192000","3"
"175","3","","10","87","B","204000","3"
"176","3","","10","88","B","204000","3"
"177","3","","10","89","A","204000","1"
"178","3","","10","88","A","204000","0"
"179","3","","10","89","B","180000","0"
"180","3","","10","90","B","180000","1"
"181","3","","10","91","A","180000","0"
"182","3","","10","90","A","180000","1"
"183","3","","10","91","B","180000","0"
"184","3","","10","92","A","180000","3"
"185","3","","10","92","B","192000","0"
"186","3","","10","93","B","192000","3"
"187","3","","10","94","A","192000","0"
"188","3","","10","93","A","192000","3"
"189","3","","10","94","B","192000","0"
"190","3","","10","95","A","192000","3"
"191","3","","10","95","B","192000","3"
"192","3","","10","96","A","192000","0"
"433","7","","26","236","A","264000","3"
"434","7","","26","236","B","264000","3"
"435","7","","26","237","A","240000","0"
"436","7","","26","237","B","240000 ","0"
"437","7","","26","238","A","216000","3"
"438","7","","26","238","B","216000","3"
"439","7","","26","239","A","216000","1"
"440","7","","26","239","B","216000","1"
"441","7","","26","240","A","240000","3"
"442","7","","26","240","B","240000","0"
"443","7","","26","241","A","240000","0"
"444","7","","26","241","B","240000","0"
"445","7","","27","242","A","264000","0"
"446","7","","27","242","B","264000","3"
"447","7","","27","243","A","240000","0"
"448","7","","27","243","B","240000","0"
"449","7","","27","244","A","216000","3"
"450","7","","27","244","B","216000","3"
"451","7","","27","245","A","216000","3"
"452","7","","27","245","B"," 216000 ","3"
"453","7","","27","246","A","240000","0"
"454","7","","27","246","B","240000","0"
"455","7","","27","247","A","240000","0"
"456","7","","27","247","B","240000","3"
"457","7","","28","248","A","264000","3"
"458","7","","28","248","B","264000","0"
"459","7","","28","249","A","240000","0"
"460","7","","28","249","B","240000","0"
"461","7","","28","250","A","216000","1"
"462","7","","28","250","B","216000 ","1"
"463","7","","28","251","A","216000","1"
"464","7","","28","251","B","216000","1"
"465","7","","28","252","A","240000","0"
"466","7","","28","252","B","240000","0"
"467","7","","28","253","A","240000","0"
"468","7","","28","253","B","240000","0"
"469","7","","29","254","A","264000","0"
"470","7","","29","254","B","264000","0"
"471","7","","29","255","A","240000","3"
"472","7","","29","255","B","240000","1"
"473","7","","29","256","A","216000","0"
"474","7","","29","256","B","216000","1"
"475","7","","29","257","A","216000","3"
"476","7","","29","257","B","216000","3"
"477","7","","29","258","A","240000","0"
"478","7","","29","258","B","240000","0"
"716","11","","46","373","A","168000","1"
"717","11","","46","373","B","168000","0"
"718","11","","46","376","B","156000","0"
"719","11","","46","376","A","156000","3"
"724","11","","46","377","A","180000","1"
"726","11","","46","378","A","240000","0"
"728","11","","46","377","B","180000","3"
"730","11","","46","379","B","180000","0"
"732","11","","46","379","A","180000","0"
"733","11","","47","381","A","156000","0"
"734","11","","47","382","B","156000","0"
"736","11","","47","382","A","156000","3"
"738","11","","47","383","A","240000","1"
"740","11","","47","384","B","180000","1"
"743","11","","47","385","A","240000","1"
"744","11","","47","386","B","180000","3"
"745","11","","47","386","A","180000","3"
"746","11","","47","387","A","168000","0"
"747","11","","47","387","B","168000","0"
"748","11","","46","374","A","156000","3"
"749","11","","46","375","A","156000","1"
"750","11","","46","375","B","156000","0"
"751","11","","48","388","A","180000","3"
"752","11","","48","389","B","156000","3"
"753","11","","48","389","A","156000","0"
"754","11","","48","390","B","156000","0"
"757","11","","48","390","A","156000","0"
"758","11","","48","391","A","204000","3"
"759","11","","48","392","B","180000","0"
"761","11","","48","392","A","180000","1"
"762","11","","48","394","B","180000","0"
"763","11","","48","393","A","240000","3"
"764","11","","48","395","B","168000","0"
"765","11","","48","394","A","180000","0"
"766","11","","47","381","B","156000","0"
"768","11","","48","395","A","168000","3"
"769","11","","49","397","B","156000","0"
"770","11","","49","396","A","180000","3"
"772","11","","49","397","A","156000","0"
"773","11","","49","398","B","156000","0"
"774","11","","49","398","A","156000","3"
"775","11","","49","399","B","156000","0"
"776","11","","49","400","B","180000","0"
"777","11","","49","399","A","156000","0"
"779","11","","49","400","A","180000","0"
"780","11","","49","402","B","180000 ","0"
"781","11","","49","401","A","240000","1"
"782","11","","49","403","B","168000","0"
"784","11","","49","402","A","180000","0"
"785","11","","49","403","A","168000","0"
"786","11","","48","388","B","180000","0"
"787","11","","50","404","A","180000","0"
"788","11","","50","405","B","156000","0"
"789","11","","50","406","B","156000","0"
"790","11","","50","405","A","156000","0"
"791","11","","50","406","A","180000","0"
"792","11","","50","407","B","180000","0"
"793","11","","50","407","A","156000","0"
"794","11","","50","408","B","180000","0"
"795","11","","50","408","A","180000","0"
"796","11","","50","409","B","240000","0"
"846","13","","56","437","A"," 180000 ","0"
"847","13","","56","437","B"," 180000 ","0"
"848","13","","56","438","A","168000","0"
"849","13","","56","438","B"," 168000 ","0"
"850","13","","56","439","A"," 168000","0"
"851","13","","56","439","B"," 168000","0"
"852","13","","56","440","A"," 168000","0"
"853","13","","56","440","B"," 168000","0"
"854","13","","56","441","A","180000","0"
"855","13","","56","441","B","180000","0"
"856","13","","57","442","A","204000","0"
"857","13","","57","442","B","204000","0"
"858","13","","57","443","A","168000","1"
"859","13","","57","443","B","168000","0"
"860","13","","57","444","A","168000","1"
"861","13","","57","444","B","168000","1"
"862","13","","57","445","A","168000","1"
"863","13","","57","445","B","168000","0"
"864","13","","57","446","A","204000","1"
"865","13","","57","446","B","204000","1"
"866","13","","57","447","A","204000","1"
"867","13","","57","447","B","204000","0"
"868","13","","58","448","A","204000","3"
"869","13","","58","448","B","204000","1"
"870","13","","58","449","A"," 168000 ","0"
"871","13","","58","449","B"," 168000 ","3"
"872","13","","58","450","A"," 168000 ","0"
"873","13","","58","450","B"," 168000 ","0"
"874","13","","58","451","A"," 168000 ","3"
"875","13","","58","451","B"," 168000 ","0"
"876","13","","58","452","A","204000","1"
"877","13","","58","452","B","204000","0"
"878","13","","58","453","A","204000","0"
"879","13","","58","453","B","204000","0"
"880","13","","59","454","A","204000","0"
"881","13","","59","454","B","204000","0"
"882","13","","59","455","A","288000","1"
"884","13","","59","456","A","168000","0"
"885","13","","59","456","B","168000","0"
"886","13","","59","457","A","168000","3"
"887","13","","59","457","B","168000","0"
"888","13","","59","458","A","204000","0"
"889","13","","59","458","B","204000","0"
"890","13","","59","459","A","204000","0"
"891","13","","59","459","B","204000","0"
"892","13","","60","460","A","204000","1"
"893","13","","60","460","B","204000","1"
"894","13","","60","461","A","168000","0"
"895","13","","60","461","B","168000","0"
"896","13","","60","462","A","168000","0"
"897","13","","60","462","B","168000","0"
