"id","property_id","user_id","page_name","updated_date"
"1001","61","642","bed","2018-06-29 20:41:03"
"1002","61","642","bed","2018-06-29 20:41:04"
"1003","61","642","bed","2018-06-29 20:53:32"
"1004","50","642","bed","2018-06-29 21:12:01"
"1005","54","642","floor","2018-06-29 21:13:39"
"1006","54","642","room","2018-06-29 21:14:02"
"1007","54","642","bed","2018-06-29 21:14:47"
"1008","67","957","detail","2018-06-30 11:54:49"
"1009","57","957","detail","2018-06-30 11:56:09"
"1010","57","957","floor","2018-06-30 11:56:45"
"1011","48","957","detail","2018-06-30 11:58:57"
"1012","68","957","detail","2018-06-30 11:59:25"
"1013","81","957","detail","2018-06-30 11:59:59"
"1014","80","957","detail","2018-06-30 12:00:23"
"1015","76","957","detail","2018-06-30 12:00:50"
"1016","1","1177","bed","2018-06-30 16:10:29"
"1017","1","1177","floor","2018-06-30 16:11:00"
"1018","1","1177","room","2018-06-30 16:13:03"
"1019","1","1177","floor","2018-06-30 16:13:10"
"1020","1","1177","room","2018-06-30 16:14:08"
"1021","1","1177","bed","2018-06-30 16:15:29"
"1022","1","1177","room","2018-06-30 16:16:15"
"1023","11","61","bed","2018-06-30 16:16:52"
"1024","11","61","bed","2018-06-30 16:17:34"
"1025","1","1177","bed","2018-06-30 16:18:36"
"1026","11","61","bed","2018-06-30 16:22:30"
"1027","1","1177","bed","2018-06-30 16:25:29"
"1028","60","720","localtity","2018-06-30 17:43:56"
"1029","53","604","gallery","2018-07-01 11:17:36"
"1030","69","604","gallery","2018-07-01 11:32:02"
"1031","69","604","amenities","2018-07-01 11:32:06"
"1032","11","604","localtity","2018-07-01 13:17:22"
"1033","69","604","detail","2018-07-01 14:07:49"
"1034","56","604","detail","2018-07-01 14:08:48"
"1035","44","604","detail","2018-07-01 14:09:23"
"1036","68","604","detail","2018-07-01 14:09:53"
"1037","63","604","detail","2018-07-01 14:10:23"
"1038","76","656","bed","2018-07-01 18:07:50"
"1039","76","656","gallery","2018-07-01 18:07:58"
"1040","47","1","detail","2018-07-02 19:21:40"
"1041","49","604","gallery","2018-07-02 19:22:45"
"1042","22","604","gallery","2018-07-02 19:23:53"
"1043","43","604","gallery","2018-07-02 19:26:44"
"1044","43","604","gallery","2018-07-02 19:35:47"
"1045","54","604","gallery","2018-07-02 19:45:30"
"1046","59","604","gallery","2018-07-02 19:46:15"
"1047","50","604","gallery","2018-07-02 19:48:34"
"1048","50","604","amenities","2018-07-02 19:48:58"
"1049","50","604","amenities","2018-07-02 19:50:40"
"1050","50","604","gallery","2018-07-02 19:51:23"
"1051","11","61","bed","2018-07-03 11:25:25"
"1052","61","604","amenities","2018-07-03 14:29:26"
"1053","33","1273","detail","2018-07-03 14:55:33"
"1054","34","1273","detail","2018-07-03 15:01:53"
"1055","16","1273","detail","2018-07-03 15:13:26"
"1056","3","1273","detail","2018-07-03 15:28:17"
