"id","property_id","cluster_manager_id","manager_id","tenant_id","bed_id","booking_category","stay_tenure","payment_type","booking_amount","move_in_charge","deposit_price","discount_price","bed_price","due_fee","total_price","collect_fee","create_date","status"
"2","47","647","648","930","2047","instant-booking","","monthly","","1000","7500","0","90000","16000","16000","1000","2018-06-18","1"
"3","47","647","648","932","2048","instant-booking","","monthly","","1000","7500","0","90000","16000","16000","16000","2018-06-18","1"
"4","47","647","648","935","2049","instant-booking","","monthly","","1000","7500","0","90000","16000","16000","16000","2018-06-18","1"
"5","47","647","648","938","2054","instant-booking","","monthly","","1000","7000","0","84000","85000","85000","15000","2018-06-18","1"
"6","1","512","3","141","3","","","half-yearly","5000","500","0","0","216000","221500","221500","125000","2018-06-28","0"
"7","1","512","3","13","4","pre-booking","","half-yearly","","","0","0"," 240000 ","245000","245000","0","2018-06-18","0"
"8","1","512","3","152","13","pre-booking","","half-yearly","","","0","0"," 240000 ","125000","245000","120000","2018-06-18","1"
"9","47","647","648","939","2056","instant-booking","","monthly","","1000","7000","0","84000","85000","85000","15000","2018-06-18","1"
"10","1","512","3","153","14","pre-booking","","half-yearly","","","0","0"," 240000 ","245500","245500","0","2018-06-18","1"
"11","47","647","648","941","2057","pre-booking","","monthly","","1000","7000","0","84000","84000","85000","1000","2018-06-19","1"
"12","47","647","648","942","2058","instant-booking","","monthly","","1000","7000","0","84000","71000","85000","14000","2018-06-18","1"
"13","47","647","648","943","2059","instant-booking","","monthly","","500","6500","-6000","84000","72000","78500","6500","2018-06-18","1"
"14","1","512","3","175","15","pre-booking","","half-yearly","","","0","0"," 240000 ","195500","245500","50000","2018-06-18","1"
"15","47","647","648","944","2068","instant-booking","","monthly","","1000","6800","-2400","84000","82600","82600","1000","2018-06-18","1"
"16","47","647","648","945","2069","instant-booking","","monthly","","1000","6250","-9000","84000","76000","76000","7250","2018-06-18","1"
"17","47","647","648","946","2055","instant-booking","12","monthly","","1000","6750","-3000","84000","60750","82000","21250","2018-07-02","1"
"18","47","647","648","947","2063","instant-booking","12","monthly","0","1000","7000","0","84000","85000","85000","85000","2018-06-18","1"
"19","1","512","3","15","16","pre-booking","","half-yearly","","","0","0"," 240000 ","245500","245500","0","2018-06-19","1"
"20","1","512","3","161","17","pre-booking","","half-yearly","","","0","0"," 192000 ","197500","197500","0","2018-06-19","1"
"21","1","512","3","155","19","pre-booking","","half-yearly","","","0","0"," 288000 ","293500","293500","0","2018-06-19","1"
"22","1","512","3","173","21","pre-booking","","half-yearly","","","0","0"," 240000 ","245500","245500","0","2018-06-19","1"
"23","1","512","3","145","22","pre-booking","","half-yearly","","","0","0"," 240000 ","245500","245500","0","2018-06-19","1"
"24","1","512","3","905","25","instant-booking","","half-yearly","","","0","0","264000","264000","264000","68500","2018-07-03","1"
"25","1","512","3","906","24","instant-booking","","half-yearly","","","0","0","264000","199000","269500","70500","2018-06-19","1"
"26","1","512","3","907","26","instant-booking","","half-yearly","","","0","0"," 216000 ","218000","221500","3500","2018-06-19","1"
"27","1","512","3","150","29","instant-booking","","half-yearly","","","0","0"," 216000 ","221000","221000","0","2018-06-19","1"
"28","1","512","3","16","30","instant-booking","","half-yearly","","","","0"," 216000 ","221500","221500","0","2018-06-19","1"
"29","1","512","3","148","1045","pre-booking","","half-yearly","","","0","0","216000","221500","221500","0","2018-06-19","1"
"30","1","512","3","909","33","instant-booking","","half-yearly","","","0","0"," 240000 ","240000","240000","5500","2018-07-06","1"
"31","1","512","3","22","35","pre-booking","","half-yearly","","","0","0"," 192000 ","197500","197500","0","2018-06-19","1"
"32","1","512","3","910","40","instant-booking","","half-yearly","","","0","0"," 240000 ","125500","245500","120000","2018-06-19","1"
"33","1","512","3","19","41","pre-booking","","half-yearly","","","0","0","264000","269500","269500","0","2018-06-19","1"
"34","1","512","3","139","42","pre-booking","","half-yearly","","","0","0","264000","269500","269500","0","2018-06-19","1"
"35","1","512","3","911","52","instant-booking","","half-yearly","5000","500","0","0"," 240000 ","120000","245500","125500","2018-06-30","1"
"36","1","512","3","176","51","pre-booking","","half-yearly","","","0","0"," 240000 ","245500","245500","0","2018-06-19","1"
"37","1","512","3","171","53","pre-booking","","half-yearly","","","0","0"," 192000 ","197500","197500","0","2018-06-19","1"
"38","1","512","3","154","56","pre-booking","","half-yearly","","","0","0","288000","293500","293500","0","2018-06-19","1"
"39","1","512","3","558","57","pre-booking","","half-yearly","","","5000","0"," 240000 ","245500","245500","0","2018-06-19","0"
"40","1","512","3","5","58","pre-booking","","half-yearly","","","5000","0"," 240000 ","245500","245500","0","2018-06-19","0"
"41","1","512","3","8","65","pre-booking","","half-yearly","","","","0","216000","221500","221500","0","2018-06-19","1"
"42","47","647","648","952","2064","instant-booking","","monthly","","0","7000","0","84000","84000","84000","21000","2018-06-19","1"
"43","1","512","3","164","66","pre-booking","","half-yearly","","","0","0","216000","221500","221500","0","2018-06-19","1"
"44","1","512","3","27","67","pre-booking","","half-yearly","","","0","0"," 240000 ","245500","245500","0","2018-06-19","1"
"45","1","512","3","24","68","pre-booking","","half-yearly","","","0","0"," 240000 ","245500","245500","0","2018-06-19","1"
