Property_Name,Prop_no,Own_name,Total_tan,Total_pay,Pay_Rec,Pm_email,Mode_pay,Total_expe
Placio Elite Homes,PM007,Dheer singh Chauhan,100,542612,65113.44,elitecitydevelopers@gmail.com,cash ,"10,596.33"
Placio Divya Homes,PF006,,200,265478,31857.36,,card,"59,512.33"
Placio Pavillion,PM008,,5000,458761,55051.32,chaudharyrajat32157@gmail.com,cash ,"9,201.00"
Placio Admire Homes,PM006,,400,325647,39077.64,rcrahul1988@gmail.com,cash ,"10,596.33"
Placio Amy House,PM004,Azim Ali khan,300,542612,65113.44,vishant.balyan@placio.in,cash ,"59,512.33"
Placio Atlantis Homes,PF007,,400,265478,31857.36,,online,"9,201.00"
Placio Venus,PF004,,800,458761,55051.32,rcrahul1988@gmail.com,card,"10,596.33"
Placio The Grand Castle,PM011,Ashok kumar,1050,325647,39077.64,monu.kashyap@placio.in,cash ,"59,512.33"
Placio Imperial Homez,PF012,Sapna Kaushik,4521,542612,65113.44,,card,"9,201.00"
Placio GR Homes,PFI02,Meenakshi,485,265478,31857.36,kuldeep.chouhaan@placio.in,cash ,"10,596.33"
Placio Vinayaka 2,PMI02,,1254,458761,55051.32,,cash ,"59,512.33"
Placio Vinayaka,PMI01,Rajni Ranve,4532,325647,39077.64,shashwat.guhe@placio.in,cash ,"9,201.00"
Placio Nightingale,PMI04,,4567,542612,65113.44,kuldeep.chouhaan@placio.in,online,"10,596.33"
Placio Precious,PFL03,Mrs Anita Singh,4562,265478,31857.36,smriti.arora@placio.in,card,"59,512.33"
Placio Shresth Homes,PF002,Neeraj Sharma,9564,458761,55051.32,,cash ,"9,201.00"
Placio Elite Homes 2,PF003,Durvesh Kumar,7524,325647,39077.64,elitecitydevelopers@gmail.com,card,"10,596.33"
Placio AK Mansion,PMI03,Mahendra Pal Singh,4215,542612,65113.44,shashwat.guhe@placio.in,cash ,"59,512.33"
Placio Princess,PFL01,,6523,265478,31857.36,vibhor.shrivastava@placio.in,cash ,"9,201.00"
Placio Pinnacle,PFL02,Sri Annpurna Enterprises,1254,458761,55051.32,deepika.srivastava@placio.in,cash ,"10,596.33"
Placio Home Care SL02,PM018,Hans Kumar Jain,8546,325647,39077.64,amit.rawat@placio.in,online,"59,512.33"
Placio Home Care KO-17,PM017,Hans Kumar Jain,3256,542612,65113.44,amit.rawat@placio.in,card,"9,201.00"
Placio Home Care KO-11,PM015,Hans Kumar Jain,1257,265478,31857.36,amit.rawat@placio.in,cash ,"10,596.33"
Placio Happy Homes,PF031,Vijay Singh Chauhan,5426,458761,55051.32,,card,"59,512.33"
Placio Exotic Living,PF032,,8546,325647,39077.64,,cash ,"9,201.00"
Placio Marigold,PF014,,975,542612,65113.44,rupinder.kaur@placio.in,cash ,"10,596.33"
Placio Salvina 2,PF020,Imran,452,265478,31857.36,mayank.singh@placio.in,cash ,"59,512.33"
Placio Angel Paradise,PFI01,,157,458761,55051.32,pooja.joshi@placio.in,online,"9,201.00"
Placio Salvina 1,PF019,Imran,154,325647,39077.64,mayank.singh@placio.in,card,"10,596.33"
Placio Inaya,PF033,,1457,542612,65113.44,,cash ,"59,512.33"
Placio Royal Living,PM026,,124,265478,31857.36,,card,"9,201.00"
Placio Angel Town,PF011,,2221,458761,55051.32,poonam.pokhriyal@placio.in,cash ,"10,596.33"
Placio RG Niwas,PF009,,1456,325647,39077.64,Pradeep.chand@placio.in,cash ,"59,512.33"
